,root:CRC (stage 0),root:CRC (stage I),root:CRC (stage II),root:CRC (stage III),root:CRC (stage IV),Unknown
ERR479550,0.21883474,0.18692689,0.1784452,0.23792192,0.17787123,0.0
ERR480935,0.12643938,0.1752035,0.12046375,0.082224034,0.49566934,0.0
ERR479484,0.053234413,0.45001325,0.07974445,0.08904609,0.32796174,0.0
ERR480926,0.038821574,0.069490544,0.70797503,0.10473877,0.07897398,0.0
ERR480612,0.053169575,0.45303178,0.07851397,0.08834887,0.32693577,0.0
ERR479461,0.106758565,0.19998121,0.15323037,0.060405154,0.4796247,0.0
ERR480611,0.03038209,0.060224276,0.74731123,0.11894262,0.043139827,0.0
ERR479180,0.063053906,0.10839334,0.287224,0.12984484,0.22335711,0.1881268
ERR479074,0.07920314,0.427483,0.06860674,0.07742557,0.34728155,0.0
ERR479507,0.108382076,0.21059486,0.4697699,0.16799287,0.043260373,0.0
ERR481054,0.091647536,0.2436956,0.12500407,0.04643279,0.49322,0.0
ERR479518,0.06309845,0.5140114,0.04643348,0.12811746,0.24833916,0.0
ERR480579,0.059332043,0.1262489,0.25879526,0.1297743,0.2518081,0.17404139
ERR480814,0.034581196,0.055818457,0.7094372,0.12330969,0.076853484,0.0
ERR481016,0.0643651,0.42516977,0.076262824,0.082349084,0.3518532,0.0
ERR475493,0.13171011,0.21784396,0.10680465,0.07591409,0.46772718,0.0
ERR479533,0.059097007,0.3790131,0.32095313,0.16264516,0.07829161,0.0
ERR479111,0.045391683,0.17472474,0.36859825,0.25382823,0.15745708,0.0
ERR481022,0.09727275,0.16624828,0.18531995,0.053985104,0.49717394,0.0
ERR479519,0.06748592,0.5157708,0.052412614,0.13402049,0.23031017,0.0
ERR481002,0.062487163,0.07580281,0.53819305,0.25090796,0.072608955,0.0
ERR481055,0.08479913,0.1941762,0.176105,0.04576032,0.49915937,0.0
ERR479348,0.0644466,0.4040124,0.08396338,0.08642993,0.3611477,0.0
ERR481001,0.062620535,0.075087786,0.5397575,0.2507889,0.07174521,0.0
ERR479523,0.05330943,0.45062265,0.08164318,0.0890546,0.32537016,0.0
ERR480925,0.036941156,0.071824364,0.7187136,0.11178127,0.060739636,0.0
ERR479333,0.053200383,0.4495391,0.079851076,0.089146376,0.32826295,0.0
ERR479426,0.04681077,0.16147462,0.3967122,0.24952526,0.14547712,0.0
ERR479083,0.037494272,0.20841846,0.24663806,0.096028,0.3980854,0.013335824
ERR479455,0.053917374,0.4481026,0.076777264,0.0911104,0.33009234,0.0
ERR479452,0.055305015,0.44356522,0.07517101,0.09174821,0.33421054,0.0
ERR479317,0.034680244,0.054679107,0.7057983,0.1244665,0.08037581,0.0
ERR479556,0.11211763,0.17242731,0.14923924,0.06746624,0.49874955,0.0
ERR479486,0.053233422,0.45003766,0.07973383,0.08904029,0.32795483,0.0
ERR479543,0.07397158,0.42436215,0.17366736,0.11454213,0.21345675,0.0
ERR479066,0.03863288,0.08117805,0.57909703,0.06344832,0.23764367,0.0
ERR480939,0.063543715,0.1665099,0.4618125,0.15847553,0.14965838,0.0
ERR479352,0.0534726,0.43797854,0.07265152,0.09831204,0.33758527,0.0
ERR479478,0.03448964,0.07264341,0.7238273,0.12415039,0.044889227,0.0
ERR481033,0.036223352,0.0577505,0.69757324,0.1314083,0.07704462,0.0
ERR480528,0.046318352,0.22469842,0.16493344,0.1287427,0.38706955,0.048237562
ERR480742,0.053170826,0.4528417,0.07859603,0.08839341,0.326998,0.0
ERR480938,0.062327806,0.14107925,0.51286983,0.16899438,0.1147287,0.0
ERR479368,0.036795374,0.09257387,0.70145833,0.12299878,0.04617364,0.0
ERR479174,0.059901424,0.07594038,0.6448596,0.10050337,0.11879518,0.0
ERR480636,0.10228863,0.21257618,0.41598916,0.22899126,0.040154804,0.0
ERR480525,0.046328366,0.22448474,0.16505846,0.12875518,0.38690126,0.048471987
ERR481044,0.053794045,0.4446473,0.098231435,0.09713442,0.30619273,0.0
ERR481024,0.030277144,0.06109944,0.7481376,0.1185975,0.041888364,0.0
ERR479331,0.05324764,0.44947657,0.07995957,0.08916665,0.3281497,0.0
ERR479415,0.041673068,0.16589971,0.40682548,0.22795695,0.15764482,0.0
ERR479071,0.0835503,0.4234836,0.06710741,0.07593887,0.34991974,0.0
ERR480965,0.049705192,0.18631805,0.36653203,0.24765825,0.14978647,0.0
ERR480695,0.10853111,0.28085455,0.2305555,0.30369407,0.076364845,0.0
ERR475592,0.09228906,0.45006293,0.13445346,0.073807396,0.24938717,0.0
ERR479148,0.054819435,0.45588687,0.07602413,0.09597632,0.31729332,0.0
ERR479072,0.09398975,0.41550523,0.06528722,0.07277288,0.3524449,0.0
ERR479435,0.03145187,0.0620997,0.740663,0.12690055,0.038884867,0.0
ERR475532,0.04620135,0.22295651,0.16570702,0.12904695,0.3875121,0.048576117
ERR479514,0.08937614,0.18732375,0.17946513,0.047778893,0.49605608,0.0
ERR479040,0.046492636,0.22202587,0.17133811,0.13259056,0.3774894,0.05006343
ERR480990,0.059514694,0.45262554,0.08985231,0.08768918,0.31031826,0.0
ERR479332,0.05322226,0.4508376,0.079407,0.08886414,0.32766894,0.0
ERR480987,0.053169437,0.4530018,0.078524984,0.08835556,0.32694834,0.0
