,root:baby_birth,root:baby_fourthmonth,root:mother,Unknown
ERR525688,0.07754,0.15713015,0.7653298,0.0
ERR525689,0.07753585,0.15712897,0.7653352,0.0
ERR525694,0.118105,0.25114948,0.63074553,0.0
ERR525700,0.077693485,0.15716805,0.7651385,0.0
ERR525701,0.07990948,0.15778369,0.76230675,0.0
ERR525703,0.07749149,0.15711953,0.765389,0.0
ERR525709,0.077482045,0.15711749,0.76540047,0.0
ERR525713,0.16508201,0.25336412,0.5815538,0.0
ERR525717,0.07750849,0.15712322,0.7653683,0.0
ERR525722,0.0774937,0.15711993,0.7653864,0.0
ERR525726,0.077484936,0.15761733,0.7648977,0.0
ERR525730,0.077488326,0.15711881,0.7653929,0.0
ERR525734,0.08018303,0.15995151,0.75986546,0.0
ERR525738,0.13820112,0.7295445,0.07780743,0.054446936
ERR525742,0.082846805,0.15926687,0.75788635,0.0
ERR525743,0.07815652,0.15726727,0.76457626,0.0
ERR525747,0.07748198,0.15711749,0.7654005,0.0
ERR525754,0.1324121,0.5840563,0.11499995,0.1685316
ERR525760,0.12734681,0.54885006,0.28149766,0.04230547
ERR525764,0.2842496,0.57866555,0.052623957,0.084460855
ERR525768,0.10875851,0.50756913,0.36412632,0.019546032
ERR525772,0.759161,0.14844593,0.09239308,0.0
ERR525776,0.13820112,0.7295445,0.07780743,0.054446936
ERR525780,0.13820112,0.7295445,0.07780743,0.054446936
ERR525784,0.13820112,0.7295445,0.07780743,0.054446936
ERR525788,0.12734681,0.54885006,0.28149766,0.04230547
ERR525792,0.07748115,0.15711734,0.76540154,0.0
ERR525796,0.08278033,0.5163224,0.18827325,0.21262401
ERR525800,0.07611528,0.2444895,0.67939526,0.0
ERR525801,0.13820112,0.7295445,0.07780743,0.054446936
ERR525806,0.07855001,0.1575585,0.76389146,0.0
ERR525810,0.077481814,0.15711746,0.76540077,0.0
ERR525816,0.077482134,0.1571175,0.76540035,0.0
ERR525820,0.081918865,0.16967264,0.74840856,0.0
ERR525824,0.054249167,0.6896692,0.10980013,0.14628148
ERR525828,0.07748954,0.1571191,0.76539135,0.0
ERR525832,0.07807386,0.22278418,0.6991419,0.0
ERR525836,0.07748115,0.15711734,0.76540154,0.0
ERR525844,0.07748518,0.15711817,0.76539665,0.0
ERR525848,0.13820574,0.72954005,0.07780513,0.05444908
ERR525852,0.18672884,0.36883035,0.4242116,0.02022922
ERR525856,0.077571236,0.15713839,0.7652903,0.0
ERR525860,0.08735726,0.1806361,0.73200667,0.0
ERR525864,0.07748125,0.15711734,0.7654014,0.0
ERR525868,0.07748115,0.15711734,0.76540154,0.0
ERR525872,0.07770927,0.1571786,0.7651121,0.0
ERR525876,0.15041152,0.57706606,0.14664093,0.12588155
ERR525880,0.07750633,0.15712279,0.7653709,0.0
ERR525881,0.077482775,0.15711768,0.7653996,0.0
ERR525886,0.13820112,0.7295445,0.07780743,0.054446936
ERR525890,0.13820112,0.7295445,0.07780743,0.054446936
ERR525896,0.12734681,0.54885006,0.28149766,0.04230547
ERR525898,0.07749111,0.1571194,0.7653895,0.0
ERR525904,0.0774812,0.15711734,0.7654015,0.0
ERR525908,0.60744196,0.38247526,0.010082786,0.0
ERR525912,0.07756795,0.15713653,0.7652955,0.0
ERR525916,0.759161,0.14844593,0.09239308,0.0
ERR525920,0.44819275,0.292385,0.2594222,0.0
ERR525924,0.07759785,0.15714465,0.76525754,0.0
ERR525925,0.07748195,0.15711746,0.76540065,0.0
ERR525932,0.36065474,0.16857383,0.4707714,0.0
ERR525936,0.07748115,0.15711734,0.76540154,0.0
ERR525940,0.75904626,0.14850493,0.09244881,0.0
ERR525944,0.07874813,0.15750593,0.76374596,0.0
ERR525945,0.096457124,0.4987586,0.30306494,0.10171932
ERR525950,0.07753098,0.15712874,0.76534027,0.0
ERR525956,0.13820112,0.7295445,0.07780743,0.054446936
ERR525960,0.16637541,0.17102602,0.6625986,0.0
ERR525964,0.07749083,0.15711933,0.7653898,0.0
ERR525968,0.5337301,0.44947484,0.016795086,0.0
ERR525972,0.079263024,0.15749292,0.76324403,0.0
ERR525980,0.4380569,0.53566384,0.02627931,0.0
ERR525984,0.07748332,0.15711775,0.765399,0.0
ERR525988,0.077571236,0.15713611,0.7652927,0.0
ERR525992,0.07748114,0.15712583,0.7653931,0.0
ERR525996,0.07748115,0.15711734,0.76540154,0.0
ERR526000,0.07748198,0.15711749,0.7654005,0.0
ERR526004,0.5516502,0.43225297,0.01609681,0.0
ERR526008,0.077491686,0.15712014,0.7653882,0.0
ERR526012,0.07748115,0.15711734,0.76540154,0.0
ERR526016,0.07748123,0.15711734,0.7654015,0.0
ERR526020,0.0775352,0.15713093,0.7653339,0.0
ERR526024,0.07748719,0.15711857,0.7653942,0.0
ERR526028,0.116738416,0.31064868,0.5726128,0.0
ERR526032,0.07748153,0.15711738,0.7654011,0.0
ERR526036,0.07939777,0.15758733,0.7630149,0.0
ERR526040,0.1341343,0.66886985,0.1284441,0.06855178
ERR526044,0.08558687,0.17282635,0.74158674,0.0
ERR526048,0.759161,0.14844593,0.09239308,0.0
ERR526052,0.07754584,0.15713204,0.76532215,0.0
ERR526056,0.33315942,0.120223,0.5466175,0.0
ERR526060,0.07780735,0.15720214,0.7649905,0.0
ERR526064,0.076109186,0.24448805,0.67940277,0.0
ERR526068,0.124801904,0.54777205,0.28322646,0.044199586
ERR526070,0.0775206,0.15712613,0.7653532,0.0
ERR526076,0.07748115,0.15711734,0.76540154,0.0
ERR526080,0.13820112,0.7295445,0.07780743,0.054446936
ERR526084,0.13820112,0.7295445,0.07780743,0.054446936
